"Orwell, George",Nineteen eighty-four,London,Penguin,2013,AXEE71F7
"Orwell, George",Down and out in Paris and London,London,Penguin,2013,AX1705FA
"Colls, Robert",George Orwell : English rebel,Oxford,Oxford University Press,2013,AXAE753F
"Orwell, George","Such, such were the joys",London,Penguin,2014,AXC642E9
"Orwell, George",Burmese days,London,Penguin,2014,AXCE076C
"Orwell, George",Keep the aspidistra flying,London,Penguin,2014,AX213113
"Orwell, George",Keep the aspidistra flying,London,Penguin,2014,AX213113
"Al-Jubouri, Firas A. J. (Firas Adnan Jabbar)",Milestones on the road to dystopia : interpreting George Orwell's self-division in an era of 'force and fraud',Newcastle upon Tyne,Cambridge Scholars,2014,AX9AC127
"Waldron, Carmel",Animal farm : George Orwell,Oxford,Oxford University Press,2014,AXA77AAA
"Duffy, Mike",Animal farm,London,Hodder Education,2015,AX8E4E72
"Orwell, George",Animal farm,London,Penguin,2015,AX84043F
"Colls, Robert",George Orwell : English rebel,Oxford,Oxford University Press,2015,AX79647C
"Opalinska, Wanda",Animal farm : George Orwell,"Harlow, Essex ; London",Pearson ; York,2015,AXE29365
"Radford, Kevin",Animal farm for GCSE,London,Hodder Education,2016,AX5563AA
"Saunders, Loraine",The unsung artistry of George Orwell : the novels from Burmese days to Nineteen eighty-four,London,Routledge,2016,AX2F5459
"Sutherland, John",Orwell's nose : a pathological biography,London,Reaktion,2016,AXCA9C4C
"Radford, Kevin",Animal farm for GCSE,London,Hodder Education,2016,AX5563AA
"Brennan, Michael G.",George Orwell and religion,London,Bloomsbury,2016,AXAC4D5C
"Sutherland, John",Orwell's nose : a biography,London,Reaktion,2016,AX523FBB
"Burns, Paul",Animal farm : AQA GCSE English literature,London,Collins,2017,AX825AEE
"Sutherland, John",Orwell's nose : a pathological biography,London,Reaktion,2017,AXEBC221
"Opalinska, Wanda",Animal farm : George Orwell,Harlow,Pearson,2015,AX76D731
"Rodden, John",George Orwell : the politics of literary reputation,London,Routledge,2017,AX4F0A52
"Williams, Kristian",Between the bullet and the lie : essays on Orwell,"Chico, California",AK Press,2017,AXEF72F3
"Orwell, George",Nineteen eighty-four,London,Vintage,2018,AXD4662D
"Orwell, George",A life in letter and diaries,London,Folio Society,2017,AXC342CE
"Newsinger, John",Hope lies in the proles : George Orwell and the left,London,PlutoPress,2018,AX06479B
"Crook, Tim",George Orwell on the radio : his works in sound drama and documentary,London,Routledge,2018,AXEAC194
"Ostrom, Hans A.",Orwell's 'politics and the English language' in the age of pseudocracy,London,Routledge,2018,AX9C7D8B
"Ostrom, Hans A.",Orwell's 'politics and the English language' in the age of pseudocracy,London,Routledge,2018,AX9C7D8B
"Crick, Bernard",George Orwell : a life,London,Harvill Secker,2018,AXBA8B65
"Orwell, George",Nineteen eighty-four,London,Penguin,2018,AXE0649E
"Orwell, George",Animal farm,London,Penguin,2018,AXFA6B43
"Newsinger, John",Hope lies in the proles : George Orwell and the left,London,PlutoPress,2018,AX06479B
"Crick, Bernard",George Orwell : a life,London,Vintage Digital,2018,AXB690AA
"Orwell, George",Burmese days,London,Harvill Secker,2018,AX601249
"Orwell, George",Keep the aspidistra flying,London,Harvill Secker,2018,AX3D709B
"Orwell, George",Coming up for air,London,Harvill Secker,2018,AX86AE45
"Orwell, George",Animal farm,London,Harvill Secker,2018,AXA3DD4C
"Orwell, George",Nineteen eighty-four,London,Harvill Secker,2018,AXA1A570
"Orwell, George",A clergyman's daughter,London,Harvill Secker,2018,AXB31FF7
"Laursen, Eric",The duty to stand aside : Nineteen eighty-four and the wartime quarrel of George Orwell and Alex Comfort,Edinburgh,AK Press,2018,AXCCA8F1
"Williams, Ian, Political scientist",Political and cultural perceptions of George Orwell : British and American views,New York,Palgrave Macmillan,2017,AX9FF50B
"KalelioÄŸlu, Murat",A literary semiotics approach to the universe of meaning in George Orwell's 1984 narrative,Newcastle upon Tyne,Cambridge Scholars,2019,AX400B24
"KalelioÄŸlu, Murat",A literary semiotics approach to the semantic universe of George Orwell's Nineteen Eighty-Four,Newcastle upon Tyne,Cambridge Scholars,2019,AXC21CF3
"Lynskey, Dorian",The ministry of truth : the biography of George Orwell's 1984,London,Picador,2019,AXADE29F
"Rodden, John","Becoming George Orwell : life and letters, legend and legacy",Princeton,Princeton University Press,2019,AXB9FC0E
"Lynskey, Dorian",The ministry of truth : the biography of George Orwell's 1984,London,Picador,2019,AXADE29F
"Brindle, Keith",Animal farm,Harlow,Pearson,2019,AXDAA140
"Taylor, D. J. (David John)",On Nineteen eighty-four : a biography,New York,Abram Press,2019,AX435670
"Bennett, Annie",Animal farm AQA English literature,London,Scholastic,2020,AX7CE50D
"Bradford, Richard",Orwell : a man of our times,London,Bloomsbury,2020,AX453214
"Hanley, Christopher","George Orwell and education : learning, commitment and human dependency",London,Routledge,2019,AXA46A9D
"Hanley, Christopher","George Orwell and education : learning, commitment and human dependency",London,Routledge,2019,AXA46A9D
"Bradford, Richard",Orwell : a man of our times,London,Bloomsbury,2020,AX453214
"Dale, John",If George Orwell were alive today : on Nineteen eighty-four and the thrust of Orwellian political satire,Melbourne,Arden,2020,AX6803AF
"Lynskey, Dorian",The ministry of truth : a biography of George Orwell's 1984,London,Picador,2021,AX672656
"Orwell, George",Animal farm,London,Harvill Secker,2020,AX3074DE
"Orwell, George",Nineteen eighty-four,London,Harvill Secker,2020,AXF81868
"Orwell, George","Orwell and the dispossessed : Down and out in Paris and London in the context of essays, reviews and letters selected from The Complete Works of George Orwell",London,Penguin,2020,AX18BC05
"Durant, Richard",Animal farm,London,Scholastic,2020,AX6048DD
"Orwell, George",Animal farm,London,William Collins,2021,AXBFE884
"Orwell, George",1984,London,William Collins,2021,AX8B10D5
"Orwell, George",Nineteen eighty-four,London,William Collins,2021,AX67E7E6
"Orwell, George",Animal farm,London,William Collins,2021,AXBFE884
"Orwell, George",Burmese days,London,William Collins,2021,AX5E8399
"Orwell, George",Burmese days,Oxford,Oxford University Press,2021,AXF6FCB1
"Orwell, George",Nineteen eighty-four,London,Penguin,2021,AX71C2DD
"Orwell, George",Animal farm : a fairy story,London,Penguin,2021,AX4BC233
"Orwell, George",Nineteen eighty-four,London,Faber & Faber,2021,AXC464CE
"Orwell, George",1984,London,Scholastic,2021,AX944CAB
"Orwell, George",Animal farm,London,Scholastic,2021,AX30909C
"Orwell, George",Burmese days,London,Arcturus,2021,AX114AB4
"Orwell, George",A clergyman's daughter,London,Arcturus,2021,AXC076E2
"Orwell, George",Keep the aspidistra flying,London,Arcturus,2021,AXFCDDD3
"Orwell, George",Nineteen eighty-four,London,Macmillan,2021,AX2E95D9
"Orwell, George",Animal farm,London,Macmillan,2021,AX020DE9
"Orwell, George",Burmese days,London,Macmillan,2021,AX61EEF6
"Orwell, George",1984,London,Vintage Classics,2021,AXC696AF
"Orwell, George",Animal farm,London,Vintage Classics,2021,AX9651BA
"Orwell, George",1984,London,Arcturus,2021,AXC3E69F
"Orwell, George",Animal farm,London,Arcturus,2021,AX1B1C5F
"Orwell, George",Animal farm,London,William Collins,2021,AXBFE884
"Orwell, George",Burmese days,London,William Collins,2021,AX5E8399
"Orwell, George",Nineteen eighty-four,London,Faber & Faber,2021,AXC464CE
"Orwell, George","Animal farm : and, Nineteen eight-four",London,William Collins,2021,AXBF80AE
"Orwell, George",Coming up for air,Oxford,Oxford University Press,2021,AX9B413D
"Orwell, George",Animal farm,Oxford,Oxford University Press,2021,AXC5263D
"Orwell, George",Nineteen eighty-four,Oxford,Oxford University Press,2021,AX521B5C
"Orwell, George",Keep the aspidistra flying,Oxford,Oxford University Press,2021,AXF440CF
"Orwell, George",Animal farm,Edinburgh,Barrington Stoke,2021,AX7A5B1F
"Orwell, George",Nineteen eighty-four,Ware,Wordsworth,2021,AX32D131
"Orwell, George",Animal farm,Ware,Wordsworth,2021,AXA207C5
"Orwell, George",Nineteen eighty-four,Edinburgh,Polygon,2021,AXDAE87E
"Orwell, George",Nineteen eighty-four,Edinburgh,Polygon,2021,AXDAE87E
"Orwell, George",A clergyman's daughter,Oxford,Oxford University Press,2021,AXEAE58E
"Orwell, George",Animal farm,London,Faber & Faber,2021,AXD540EF
"Orwell, George",Nineteen eighty-four,London,William Collins,2021,AX67E7E6
"Orwell, George",Animal farm,London,Faber & Faber,2021,AXD540EF
"Orwell, George",Burmese days,London,William Collins,2021,AX5E8399
"Orwell, George",Animal farm,London,Flame Tree 451,2021,AX904E9E
"Orwell, George",Nineteen eighty-four,London,Flame Tree 451,2021,AXD88B45
"Orwell, George",Animal farm : GCSE 9-1 set text student edition,London,Collins,2021,AX874DAE
"Christin, Pierre",Orwell,London,SelfMadeHero,2021,AXC354C1
"Orwell, George",A clergyman's daughter,London,Arcturus Digital,2021,AXE9DE0B
"Orwell, George",1984,London,Arcturus Digital,2021,AX7DF239
"Orwell, George",Animal farm,London,Arcturus Digital,2021,AX18944C
"Orwell, George",Keep the aspidistra flying,London,Arcturus Digital,2021,AX00801C
"Orwell, George",Burmese days,London,Arcturus Digital,2021,AXF77F2B
"Shaw, Dom",Eric is awake,,Anonymous Press,2013,AXE417F8
"Glover, Dennis",The last man in Europe : a novel,"Carlton, Victoria",Black,2017,AX29C0F2
"Bissell, Norman",Barnhill,Edinburgh,Luath Press,2019,AX6AC480
"Bissell, Norman",Barnhill : a novel,Edinburgh,Luath Press,2020,AXBEEF2B
"Glover, Dennis",The last man in Europe,Edinburgh,Polygon,2020,AX2FCBFC
"Glover, Dennis",The last man in Europe : a novel,Edinburgh,Polygon,2020,AX4B3315
"Chapman, Jake",1984.1,Falmouth,Urbanomic,2020,AX3DE90B
"Orwell, George",Unwelcome guerrilla : George Orwell and the New statesman : an anthology,London,New Statesman,1984,AXD05EBD
"Orwell, George",Essays,London,Penguin,2014,AXBED1B3
"Orwell, George",George Orwell : essays,London,Penguin,2014,AX3ED099
"Orwell, George",Shooting an elephant,London,Penguin,2021,AX5463E1
"Orwell, George",England your England,London,Pushkin,2021,AXAC0627
"Orwell, George",Why I write,London,Renard Press,2021,AXA616F3
"Orwell, George",The prevention of literature,London,Renard Press,2021,AX7E05B1
"Orwell, George",Shooting an elephant,London,Penguin,2021,AX5463E1
"Orwell, George",Selected essays,Oxford,Oxford University Press,2021,AXC9FE70
"Orwell, George",England your England,London,Pushkin,2021,AXAC0627
"Orwell, George",Inside the whale : on writers and writing,London,Pushkin,2021,AX444105
"Orwell, George",Down and out in Paris and London : The road to Wigan Pier,Ware,Wordsworth,2021,AX19A8F1
"Orwell, George",Why I write,London,Renard Press,2021,AXA616F3
"Orwell, George",The prevention of literature,London,Renard Press,2021,AX7E05B1
"Orwell, George",Politics and the English language,London,Penguin,2013,AX0CAA9D
"Orwell, George",Diaries,London,Harvill Secker,2020,AX2A1CE0
"Orwell, George",All propaganda is lies : 1941-1942,London,Secker,2015,AX57B6BA
"Orwell, George","I have tried to tell the truth, 1943-1944",London,Secker,2015,AXED474B
"Orwell, George",Orwell on truth,London,Harvill Secker,2017,AX94943E
"Orwell, George",Orwell on truth,London,Vintage Digital,2017,AX3B649D
"Orwell, George",George Orwell visions of dystopia,London,Flame Tree Collections,2021,AXFC03E9
"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Harvill Secker,2014,AX76E438
"Orwell, George",I belong to the left : 1945,London,Secker,2015,AX603744
"Orwell, George",A kind of compulsion : 1903-1936,London,Secker,2015,AX1B1FFD
"Orwell, George","Facing unpleasant facts, 1937-1939",London,Secker,2015,AX737E54
"Stewart, Anthony","George Orwell, doubleness and the value of decency",London,Routledge,2015,AX3B1EDF
"Woloch, Alex",Or Orwell : writing and democratic socialism,"Cambridge, Massachusetts",Harvard University,2016,AX903A6C
"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Penguin,2016,AXCE22B5
"Orwell, George",Seeing things as they are : selected journalism and other writings,London,Penguin,2016,AXCE22B5
"Orwell, George",Unwelcome guerrilla : George Orwell and the New statesman : an anthology,London,New Statesman,1984,AXD05EBD
"Bounds, Philip",Orwell and Marxism : the political and cultural thinking of George Orwell,London,I.B. Tauris,2016,AXED3C3D
"Brennan, Michael G.",George Orwell and religion,London,Bloomsbury,2017,AXF9F20E
"Williams, Ian",Political and cultural perceptions of George Orwell : British and American views,Basingstoke,Palgrave Macmillan,2017,AX084099
"Orwell, George",A life in letters,London,Penguin,2011,AX46B327
"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals",Oxford,Oxford University Press,2018,AX2DC89E
"Dwan, David","Liberty, equality, and humbug : Orwell's political ideals",Oxford,Oxford University Press,2018,AX2DC89E
"Connelly, Mark",George Orwell : a literary companion,"Jefferson, North Carolina",McFarland,2018,AX82C88C
"Ryan, David","George Orwell on screen : adaptations, documentaries and docudramas on film and television","Jefferson, North Carolina",McFarland,2018,AX8B8BE6
"Ingle, Stephen",Orwell reconsidered,London,Routledge,2019,AX53689B
"Ingle, Stephen",Orwell reconsidered,London,Routledge,2019,AX53689B
"Topp, Sylvia",Eileen : the making of George Orwell,London,Unbound,2020,AX628595
"Keeble, Richard",Journalism beyond Orwell : a collection of essays,London,Routledge,2020,AXE7439B
"Keeble, Richard",Journalism beyond Orwell : a collection of essays,London,Routledge,2020,AXE7439B
"Topp, Sylvia",Eileen : the making of George Orwell,London,Unbound,2021,AX136EED
"Orwell, George",Down and out in Paris and London,London,Harvill Secker,2018,AX64371C
"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,New York,Penguin,2017,AXFEB677
"Ricks, Thomas E.",Churchill & Orwell : the fight for freedom,London,Duckworth Overlook,2017,AX5C53DA
"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,London,Gerald Duckworth,2017,AX5E27A8
"Ricks, Thomas E.",Churchill and Orwell : the fight for freedom,London,Duckworth Overlook,2018,AX0B3049
"Orwell, George",Orwell's England,London,Penguin,2020,AX51F57F
"Orwell, George",Orwell and England : selected essays,London,Macmillan,2021,AX2F8CB7
"Hall, Christopher","'In Spain with Orwell' : George Orwell and the Independent Labour Party volunteers in the Spanish Civil War, 1936-1939",Perth,Tippermuir,2013,AX837209
"Orwell, George",Homage to Catalonia,London,Viking,2013,AX4EB082
"Orwell, George",Homage to Catalonia,London,Penguin,2003,AX28FA0E
"Orwell, George",Homage to Catalonia,London,Harvill Secker,2018,AX876F07
"Orwell, George","Orwell in Spain : the full text of Homage to Catalonia with associated articles, reviews and letters from The complete works of George Orwell",London,Penguin,2020,AX7DD9C2
"Orwell, George",Homage to Catalonia,London,Harper,2021,AXBE7317
"Orwell, George",Homage to Catalonia,Oxford,Oxford University Press,2021,AXD0706C
"Orwell, George",Homage to Catalonia,London,Vintage Classics,2021,AXFA9ECB
"Orwell, George",Homage to Catalonia,London,Arcturus,2021,AX7EBFC3
"Orwell, George",Homage to Catalonia,London,Harper,2021,AXBE7317
"Orwell, George",Homage to Catalonia,London,Harper,2021,AXBE7317
"Orwell, George",Homage to Catalonia,London,Macmillan,2021,AXD4FC24
"Orwell, George",Homage to Catalonia,London,Arcturus Digital,2021,AXDC3F9D
"Lavoie, FrÃ©dÃ©rick",Orwell in Cuba : how 1984 came to be published in Castro's twilight,"Vancouver, British Columbia",Talonbooks,2020,AX4EC60D
